"BENG 87",SE,A00,Th,2:00p-2:50p,PFBH,291,Mc Culloch, Andrew Douglas     ,
"BENG 110",LE,A00,TuTh,11:00a-12:20p,PCYNH,121,Mc Culloch, Andrew Douglas     ,
"BENG 110",DI,A01,M,9:00a-9:50a,CENTR,220,Mc Culloch, Andrew Douglas     ,
"BENG 110",DI,A02,F,12:00p-12:50p,TM102,1,Mc Culloch, Andrew Douglas     ,
"BENG 110",LE,B00,TuTh,12:30p-1:50p,PCYNH,121,Mc Culloch, Andrew Douglas     ,
"BENG 110",DI,B01,M,12:00p-12:50p,HSS,2152,Mc Culloch, Andrew Douglas     ,
"BENG 110",DI,B02,F,11:00a-11:50a,TM102,1,Mc Culloch, Andrew Douglas     ,
"BENG 119A",LE,A00,Tu,8:00a-8:50a,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 119A",LA,A01,Tu,9:00a-9:50a,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 122A",LE,A00,TuTh,12:30p-1:50p,WLH,2113,Gough, David A.          ,
"BENG 122A",DI,A01,W,12:00p-12:50p,HSS,2152,Gough, David A.          ,
"BENG 122A",DI,A02,W,1:00p-1:50p,HSS,1315,Gough, David A.          ,
"BENG 122A",LE,B00,TuTh,9:30a-10:50a,CSB,004,Gough, David A.          ,
"BENG 122A",DI,B01,W,11:00a-11:50a,HSS,2152,Gough, David A.          ,
"BENG 122A",DI,B02,W,2:00p-2:50p,HSS,1315,Gough, David A.          ,
"BENG 126A",LE,A00,F,12:00p-12:50p,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 126A",LA,A01,F,1:00p-1:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 127A",LE,A00,Tu,12:00p-12:50p,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 127A",LA,A01,Th,1:00p-1:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 128A",LE,A00,M,1:00p-1:50p,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 128A",LA,A01,M,2:00p-2:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 129A",LE,A00,M,6:00p-6:50p,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 129A",LA,A01,M,7:00p-8:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 134",LE,A00,TuTh,2:00p-3:20p,HSS,1128A,Coleman, Todd Prentice       ,
"BENG 134",DI,A01,M,5:00p-5:50p,YORK,4050B,Coleman, Todd Prentice       ,
"BENG 134",DI,A02,W,4:00p-4:50p,YORK,3050B,Coleman, Todd Prentice       ,
"BENG 135",LE,A00,TuTh,3:30p-4:50p,HSS,1128A,Wheeler, Bruce Christopher     ,
"BENG 135",DI,A01,F,9:00a-9:50a,HSS,1106B,Wheeler, Bruce Christopher     ,
"BENG 135",DI,A02,F,11:00a-11:50a,MANDE,B-152,Wheeler, Bruce Christopher     ,
"BENG 139A",LE,A00,F,6:00p-6:50p,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 139A",LA,A01,F,7:00p-8:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 141",LE,A00,TuTh,3:30p-4:50p,YORK,3050A,Lal, Ratnesh            ,
"BENG 141",DI,A01,W,5:00p-5:50p,YORK,4050B,Lal, Ratnesh            ,
"BENG 147A",LE,A00,W,11:00a-11:50a,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 147A",LA,A01,W,12:00p-12:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 148A",LE,A00,Th,11:00a-11:50a,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 148A",LA,A01,Th,12:00p-12:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 149A",LE,A00,M,11:00a-11:50a,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 149A",LA,A01,M,12:00p-12:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 161A",LE,A00,TuTh,11:00a-12:20p,PFBH,191,Fraley, Stephanie I.        ,
"BENG 161A",DI,A01,M,9:00a-9:50a,CENTR,217B,Fraley, Stephanie I.        ,
"BENG 161A",DI,A02,M,11:00a-11:50a,SOLIS,105,Fraley, Stephanie I.        ,
"BENG 162",LE,A00,M,4:00p-4:50p,PCYNH,121,Mali, Prashant Gulab Ram      ,
"BENG 162",LA,A01,TuTh,2:00p-5:20p,PFBH,108,Mali, Prashant Gulab Ram      ,
"BENG 162",LA,A02,WF,2:00p-5:20p,PFBH,108,Mali, Prashant Gulab Ram      ,
"BENG 166A",LE,A00,TuTh,12:30p-1:50p,WLH,2205,Sah, Robert Lie-Yuan        ,
"BENG 166A",DI,A01,M,1:00p-1:50p,CENTR,217B,Sah, Robert Lie-Yuan        ,
"BENG 166A",DI,A02,M,12:00p-12:50p,CENTR,217B,Sah, Robert Lie-Yuan        ,
"BENG 169A",LE,A00,M,8:00a-8:50a,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 169A",LA,A01,M,9:00a-9:50a,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 179A",LE,A00,M,3:00p-3:50p,PFBH,226,Wheeler, Bruce Christopher     ,
"BENG 179A",LA,A01,M,4:00p-4:50p,PFBH,108,Wheeler, Bruce Christopher     ,
"BENG 183",LE,A00,TuTh,3:30p-4:50p,CSB,002,Zhong, Sheng            ,
"BENG 183",DI,A01,Th,5:00p-5:50p,TBA,TBA,Zhong, Sheng            ,
"BENG 183",DI,A02,F,3:00p-3:50p,WLH,2115,Zhong, Sheng            ,
"BENG 187B",LE,A00,MW,1:00p-1:50p,CENTR,214,Wheeler, Bruce Christopher     ,
"BIBC 100",LE,A00,TuTh,12:30p-1:50p,CENTR,101,Huffaker, Alisa          ,
"BIBC 100",DI,A01,Tu,9:00a-9:50a,HSS,1128A,Huffaker, Alisa          ,
"BIBC 100",DI,A02,Tu,10:00a-10:50a,HSS,1128A,Huffaker, Alisa          ,
"BIBC 100",DI,A03,W,11:00a-11:50a,WLH,2112,Huffaker, Alisa          ,
"BIBC 100",DI,A04,W,12:00p-12:50p,WLH,2206,Huffaker, Alisa          ,
"BIBC 100",DI,A05,W,5:00p-5:50p,SOLIS,110,Huffaker, Alisa          ,
"BIBC 100",DI,A06,W,6:00p-6:50p,SOLIS,110,Huffaker, Alisa          ,
"BIBC 100",DI,A07,Th,8:00a-8:50a,WLH,2114,Huffaker, Alisa          ,
"BIBC 100",DI,A08,Th,5:00p-5:50p,SEQUO,147,Huffaker, Alisa          ,
"BIBC 100",DI,A09,Tu,5:00p-5:50p,WLH,2114,Huffaker, Alisa          ,
"BIBC 102",LE,A00,TuTh,9:30a-10:50a,SOLIS,107,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A01,M,9:00a-9:50a,SOLIS,110,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A02,M,3:00p-3:50p,WLH,2206,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A03,M,4:00p-4:50p,WLH,2206,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A04,W,8:00a-8:50a,SOLIS,110,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A05,W,12:00p-12:50p,WLH,2209,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A06,W,7:00p-7:50p,HSS,2154,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A07,W,8:00p-8:50p,HSS,2154,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A08,F,12:00p-12:50p,WLH,2209,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A09,F,9:00a-9:50a,WLH,2115,Schmelz, Eric Alexander      ,
"BIBC 102",DI,A10,M,10:00a-10:50a,WLH,2115,Schmelz, Eric Alexander      ,
"BIBC 102",LE,B00,TuTh,3:30p-4:50p,GH,242,Hampton, Randolph Y.        ,
"BIBC 102",DI,B01,M,11:00a-11:50a,MANDE,B-104,Hampton, Randolph Y.        ,
"BIBC 102",DI,B02,M,7:00p-7:50p,SOLIS,111,Hampton, Randolph Y.        ,
"BIBC 102",DI,B03,F,10:00a-10:50a,MANDE,B-104,Hampton, Randolph Y.        ,
"BIBC 102",DI,B04,Tu,7:00p-7:50p,MANDE,B-104,Hampton, Randolph Y.        ,
"BIBC 102",DI,B05,W,3:00p-3:50p,SOLIS,110,Hampton, Randolph Y.        ,
"BIBC 102",DI,B06,W,4:00p-4:50p,SOLIS,110,Hampton, Randolph Y.        ,
"BIBC 102",DI,B07,Th,9:00a-9:50a,HSS,1128A,Hampton, Randolph Y.        ,
"BIBC 102",DI,B08,Th,10:00a-10:50a,HSS,1128A,Hampton, Randolph Y.        ,
"BIBC 102",DI,B09,Th,8:00p-8:50p,HSS,1128A,Hampton, Randolph Y.        ,
"BIBC 102",DI,B10,F,8:00a-8:50a,SOLIS,105,Hampton, Randolph Y.        ,
"BIBC 102",DI,B11,F,9:00a-9:50a,SOLIS,105,Hampton, Randolph Y.        ,
"BIBC 102",DI,B12,F,4:00p-4:50p,WLH,2114,Hampton, Randolph Y.        ,
"BIBC 102",DI,B13,F,5:00p-5:50p,WLH,2114,Hampton, Randolph Y.        ,
