Course Name,Section Number,Date,Time
MGT  5,B00,3/17/2020,11:30a-2:29p
MGT  12,A00,3/19/2020,3:00p-5:59p
MGT  12,B00,3/17/2020,3:00p-5:59p
MGT  16,A00,3/19/2020,3:00p-5:59p
MGT  16,B00,3/17/2020,3:00p-5:59p
MGT  16,C00,3/18/2020,8:00a-10:59a
MGT  16,D00,3/16/2020,3:00p-5:59p
MGT  18,A00,3/19/2020,8:00a-10:59a
MGT  18,B00,3/17/2020,8:00a-10:59a
MGT  18,C00,3/17/2020,11:30a-2:29p
MGT  18,D00,3/17/2020,8:00a-10:59a
MGT  45,A00,3/19/2020,11:30a-2:29p
MGT  103,A00,3/16/2020,8:00a-10:59a
MGT  103,B00,3/18/2020,8:00a-10:59a
MGT  103,C00,3/19/2020,3:00p-5:59p
MGT  103,D00,3/17/2020,3:00p-5:59p
MGT  103,E00,3/19/2020,7:00p-9:59p
MGT  103,F00,3/16/2020,11:30a-2:29p
MGT  103,G00,3/16/2020,3:00p-5:59p
MGT  103,H00,3/16/2020,7:00p-9:59p
MGT  105,A00,3/16/2020,3:00p-5:59p
MGT  106,A00,3/18/2020,11:30a-2:29p
MGT  107,A00,3/18/2020,7:00p-9:59p
MGT  112,A00,3/18/2020,11:30a-2:29p
MGT  112,B00,3/16/2020,7:00p-9:59p
MGT  112,C00,3/18/2020,11:30a-2:29p
MGT  112,D00,3/18/2020,3:00p-5:59p
MGT  112,E00,3/16/2020,7:00p-9:59p
MGT  127,A00,3/18/2020,8:00a-10:59a
MGT  131A,A00,3/19/2020,11:30a-2:29p
MGT  131B,A00,3/19/2020,8:00a-10:59a
MGT  135,A00,3/19/2020,11:30a-2:29p
MGT  136,A00,3/18/2020,11:30a-2:29p
MGT  137,A00,3/18/2020,3:00p-5:59p
MGT  139,A00,3/18/2020,7:00p-9:59p
MGT  153,A00,3/18/2020,3:00p-5:59p
MGT  153,B00,3/17/2020,7:00p-9:59p
MGT  162,A00,3/20/2020,11:30a-2:29p
MGT  164,A00,3/19/2020,8:00a-10:59a
MGT  164,B00,3/17/2020,11:30a-2:29p
MGT  164,C00,3/18/2020,8:00a-10:59a
MGT  164,D00,3/18/2020,8:00a-10:59a
MGT  166,A00,3/19/2020,11:30a-2:29p
MGT  166,B00,3/19/2020,3:00p-5:59p
MGT  166,C00,3/17/2020,3:00p-5:59p
MGT  166,D00,3/17/2020,8:00a-10:59a
MGT  167,A00,3/18/2020,7:00p-9:59p
MGT  172,A00,3/19/2020,7:00p-9:59p
MGT  172,B00,3/16/2020,7:00p-9:59p
MGT  172,C00,3/16/2020,3:00p-5:59p
MGT  173,A00,3/18/2020,3:00p-5:59p
MGT  173,B00,3/16/2020,7:00p-9:59p
MGT  175,A00,3/18/2020,8:00a-10:59a
MGT  181,A00,3/16/2020,11:30a-2:29p
MGT  181,B00,3/17/2020,7:00p-9:59p
MGT  184,A00,3/19/2020,7:00p-9:59p
MGT  187,A00,3/19/2020,7:00p-9:59p
MGT  187,B00,3/16/2020,7:00p-9:59p
SE   101A,A00,3/19/2020,7:00p-9:59p
SE   101B,A00,3/17/2020,8:00a-10:59a
SE   101B,B00,3/19/2020,11:30a-2:29p
SE   103,A00,3/19/2020,8:00a-10:59a
SE   110A,B00,3/16/2020,3:00p-5:59p
SE   110A,C00,3/17/2020,11:30a-2:29p
SE   115,A00,3/16/2020,3:00p-5:59p
SE   130A,A00,3/18/2020,11:30a-2:29p
SE   131A,A00,3/16/2020,11:30a-2:29p
SE   151A,A00,3/18/2020,8:00a-10:59a
SE   160A,A00,3/19/2020,7:00p-9:59p
SE   171,A00,3/20/2020,11:30a-2:29p
SE   182,A00,3/17/2020,8:00a-10:59a
SIO  1,A00,3/16/2020,3:00p-5:59p
SIO  3,A00,3/20/2020,11:30a-2:29p
SIO  20,A00,3/19/2020,3:00p-5:59p
SIO  25,A00,3/20/2020,8:00a-10:59a
SIO  35,A00,3/16/2020,11:30a-2:29p
SIO  45,A00,3/20/2020,8:00a-10:59a
SIO  102,A00,3/19/2020,11:30a-2:29p
SIO  103,A00,3/17/2020,8:00a-10:59a
SIO  104,A00,3/18/2020,8:00a-10:59a
SIO  109,A00,3/18/2020,11:30a-2:29p
SIO  115,A00,3/18/2020,8:00a-10:59a
SIO  116,A00,3/19/2020,3:00p-5:59p
SIO  119,A00,3/20/2020,11:30a-2:29p
SIO  120,A00,3/20/2020,11:30a-2:29p
SIO  124,A00,3/19/2020,8:00a-10:59a
SIO  126,A00,3/18/2020,8:00a-10:59a
SIO  134,A00,3/17/2020,8:00a-10:59a
SIO  143,A00,3/19/2020,3:00p-5:59p
SIO  144,A00,3/19/2020,3:00p-5:59p
SIO  146,A00,3/19/2020,3:00p-5:59p
SIO  162,A00,3/19/2020,3:00p-5:59p
SIO  172,A00,3/19/2020,11:30a-2:29p
SIO  178,A00,3/19/2020,3:00p-5:59p
SIO  180,A00,3/20/2020,11:30a-2:29p
SIO  183,A00,3/18/2020,11:30a-2:29p
SIO  185,A00,3/19/2020,8:00a-10:59a
SIO  187,A00,3/20/2020,8:00a-10:59a
SIO  188,A00,3/19/2020,3:00p-5:59p
SIO  190,A00,3/19/2020,3:00p-5:59p
SOCI 2,A00,3/20/2020,11:30a-2:29p
SOCI 50,A00,3/16/2020,7:00p-9:59p
SOCI 60,A00,3/19/2020,8:00a-10:59a
SOCI 70,A00,3/17/2020,8:00a-10:59a
SOCI 100,A00,3/16/2020,11:30a-2:29p
SOCI 102,B00,3/16/2020,7:00p-9:59p
SOCI 104,A00,3/18/2020,8:00a-10:59a
SOCI 104Q,A00,3/17/2020,11:30a-2:29p
SOCI 106,A00,3/19/2020,3:00p-5:59p
SOCI 109,A00,3/16/2020,8:00a-10:59a
SOCI 113,A00,3/19/2020,7:00p-9:59p
SOCI 115,A00,3/16/2020,7:00p-9:59p
SOCI 118,A00,3/19/2020,8:00a-10:59a
SOCI 120T,A00,3/18/2020,8:00a-10:59a
SOCI 124,A00,3/18/2020,11:30a-2:29p
SOCI 126,A00,3/16/2020,7:00p-9:59p
SOCI 132,A00,3/16/2020,7:00p-9:59p
SOCI 135,A00,3/18/2020,3:00p-5:59p
SOCI 138,A00,3/19/2020,3:00p-5:59p
SOCI 140K,A00,3/19/2020,11:30a-2:29p
SOCI 142,A00,3/16/2020,7:00p-9:59p
SOCI 145,A00,3/18/2020,3:00p-5:59p
SOCI 149,A00,3/18/2020,11:30a-2:29p
SOCI 156,A00,3/16/2020,7:00p-9:59p
SOCI 159,A00,3/20/2020,3:00p-5:59p
SOCI 162,A00,3/16/2020,8:00a-10:59a
SOCI 167,A00,3/17/2020,3:00p-5:59p
SOCI 168,A00,3/19/2020,7:00p-9:59p
SOCI 170,A00,3/20/2020,3:00p-5:59p
SOCI 175,A00,3/20/2020,8:00a-10:59a
SOCI 180,A00,3/17/2020,3:00p-5:59p
SOCI 185,A00,3/17/2020,7:00p-9:59p
SOCI 188D,A00,3/17/2020,11:30a-2:29p
SOCI 188E,A00,3/17/2020,3:00p-5:59p
ENG  100B,A00,3/16/2020,7:00p-9:59p
ENG  100D,A00,3/16/2020,7:00p-9:59p
ENG  100D,B00,3/17/2020,11:30a-2:29p
TDAC 1,A00,3/19/2020,8:00a-10:59a
TDAC 1,B00,3/19/2020,8:00a-10:59a
TDAC 1,C00,3/19/2020,11:30a-2:29p
TDAC 1,D00,3/19/2020,11:30a-2:29p
TDAC 1,E00,3/17/2020,11:30a-2:29p
TDAC 1,F00,3/17/2020,11:30a-2:29p
TDAC 1,G00,3/19/2020,3:00p-5:59p
TDAC 1,H00,3/19/2020,3:00p-5:59p
TDAC 1,I00,3/19/2020,3:00p-5:59p
TDAC 1,J00,3/17/2020,3:00p-5:59p
TDAC 1,K00,3/17/2020,3:00p-5:59p
TDAC 102,A00,3/19/2020,11:30a-2:29p
TDAC 102,B00,3/20/2020,11:30a-2:29p
TDAC 104,A00,3/20/2020,8:00a-10:59a
TDDE 1,A00,3/16/2020,3:00p-5:59p
TDDE 101,A00,3/19/2020,11:30a-2:29p
TDDE 151,A00,3/19/2020,3:00p-5:59p
TDDM 100,A00,3/19/2020,3:00p-5:59p
TDGE 1,A00,3/18/2020,11:30a-2:29p
TDGE 11,A00,3/16/2020,7:00p-9:59p
TDGE 25,A00,3/19/2020,8:00a-10:59a
TDGE 25,B00,3/19/2020,8:00a-10:59a
TDGE 25,C00,3/17/2020,8:00a-10:59a
TDGE 25,D00,3/19/2020,11:30a-2:29p
TDGE 25,E00,3/19/2020,3:00p-5:59p
TDGE 25,F00,3/17/2020,3:00p-5:59p
TDGE 25,G00,3/17/2020,3:00p-5:59p
TDHD 20,A00,3/17/2020,11:30a-2:29p
TDHD 176,A00,3/17/2020,11:30a-2:29p
TDHT 22,A00,3/16/2020,11:30a-2:29p
TDHT 101,A00,3/19/2020,11:30a-2:29p
TDHT 108,A00,3/20/2020,8:00a-10:59a
TDMV 1,A00,3/16/2020,8:00a-10:59a
TDMV 1,B00,3/21/2020,11:30a-2:29p
TDMV 2,A00,3/20/2020,8:00a-10:59a
TDMV 2,B00,3/19/2020,8:00a-10:59a
TDMV 2,C00,3/21/2020,8:00a-10:59a
TDMV 3,A00,3/21/2020,3:00p-5:59p
TDMV 11,A00,3/19/2020,8:00a-10:59a
TDMV 20,A00,3/16/2020,3:00p-5:59p
TDMV 110,A00,3/21/2020,8:00a-10:59a
TDMV 111,A00,3/20/2020,8:00a-10:59a
TDMV 120,A00,3/17/2020,11:30a-2:29p
TDMV 120,B00,3/19/2020,3:00p-5:59p
TDMV 122,A00,3/18/2020,11:30a-2:29p
TDMV 130,A00,3/20/2020,3:00p-5:59p
TDMV 138,B00,3/17/2020,11:30a-2:29p
TDMV 142,A00,3/16/2020,3:00p-5:59p
TDMV 143,A00,3/20/2020,3:00p-5:59p
TDMV 146,A00,3/18/2020,11:30a-2:29p
TDMV 148,A00,3/20/2020,8:00a-10:59a
TDPW 101,A00,3/17/2020,8:00a-10:59a
TDPW 101,B00,3/17/2020,8:00a-10:59a
TDPW 101,C00,3/19/2020,11:30a-2:29p
TDPW 101,D00,3/17/2020,11:30a-2:29p
TDPW 101,E00,3/17/2020,8:00a-10:59a
TDTR 10,A00,3/19/2020,3:00p-5:59p
TDTR 20,A00,3/17/2020,8:00a-10:59a
TDTR 104,A00,3/17/2020,11:30a-2:29p
TMC  15,A00,3/17/2020,8:00a-10:59a
TWS  22,A00,3/20/2020,11:30a-2:29p
USP  2,A00,3/17/2020,11:30a-2:29p
USP  5,A00,3/16/2020,7:00p-9:59p
USP  125,A00,3/19/2020,11:30a-2:29p
USP  131,A00,3/16/2020,7:00p-9:59p
USP  141A,A00,3/18/2020,8:00a-10:59a
USP  143,A00,3/17/2020,8:00a-10:59a
USP  150,A00,3/17/2020,11:30a-2:29p
USP  153,A00,3/19/2020,11:30a-2:29p
USP  161,A00,3/18/2020,7:00p-9:59p
USP  170,A00,3/19/2020,7:00p-9:59p
USP  177A,A00,3/19/2020,3:00p-5:59p
USP  179,A00,3/16/2020,3:00p-5:59p
USP  181,A00,3/20/2020,8:00a-10:59a
USP  189,A00,3/16/2020,7:00p-9:59p
USP  193,A00,3/19/2020,7:00p-9:59p
VIS  11,A00,3/18/2020,7:00p-9:59p
VIS  21B,A00,3/17/2020,3:00p-5:59p
VIS  22,A00,3/19/2020,11:30a-2:29p
VIS  41,A00,3/18/2020,7:00p-9:59p
VIS  84,A00,3/17/2020,11:30a-2:29p
VIS  100,A00,3/17/2020,3:00p-5:59p
VIS  112,A00,3/17/2020,3:00p-5:59p
VIS  122D,A00,3/18/2020,11:30a-2:29p
VIS  124F,A00,3/19/2020,3:00p-5:59p
VIS  125BN,A00,3/17/2020,11:30a-2:29p
VIS  126AN,A00,3/20/2020,11:30a-2:29p
VIS  129A,A00,3/17/2020,8:00a-10:59a
VIS  129F,A00,3/17/2020,3:00p-5:59p
VIS  135,B00,3/18/2020,3:00p-5:59p
VIS  145A,A00,3/19/2020,7:00p-9:59p
VIS  147A,A00,3/21/2020,8:00a-10:59a
